store_key,store_id,store_name,province_id,province_name
2430,15458,BHX_HCM_CGI - 03 Tam Thôn Hiệp,1027,Thành phố Hồ Chí Minh
2431,6061,BHX_BTH_PTH - 228 Nguyễn Đình Chiểu (Chợ Rạng),1025,Tỉnh Lâm Đồng
2432,4581,BHX_BDU_TUY - Thửa 312 Khánh Bình,1027,Thành phố Hồ Chí Minh
2433,4300,BHX_TGI_CLA - 17/2 Bến Cát,1029,Tỉnh Đồng Tháp
2434,4598,BHX_BDU_TAN - Thửa 108 Bình Hòa,1027,Thành phố Hồ Chí Minh
2435,4479,BHX_DON_BHO - 19 Tổ 13 Trảng Dài (Chợ Phú Thọ),1026,Tỉnh Đồng Nai
2436,13986,BHX_KHH_VNI - 114 Nguyễn Huệ,1023,Tỉnh Khánh Hòa
2437,7029,BHX_HCM_TDU - 3 Lý Tế Xuyên,1027,Thành phố Hồ Chí Minh
2438,14942,BHX_HTI_KAN - Phong Bắc,1017,Tỉnh Hà Tĩnh
2439,15759,BHX_QTR_PNH - Hà Lời,1018,Tỉnh Quảng Trị
2440,10378,BHX_BRV_VTA - 5/19 Nguyễn Thái Học,1027,Thành phố Hồ Chí Minh
