store_key,store_id,store_name,province_id,province_name
2835,7993,BHX_HCM_Q12 - 437 Hà Huy Giáp,1027,Thành phố Hồ Chí Minh
2836,7284,BHX_DNG_CJU - Nam Dong,1025,Tỉnh Lâm Đồng
2837,7158,BHX_DON_BHO - Thửa 327 Tân Biên,1026,Tỉnh Đồng Nai
2838,6314,BHX_DTH_LVU - Tân Bình (Chợ Ngã 3 Phong Hòa),1029,Tỉnh Đồng Tháp
2839,8764,BHX_BDU_TUY - Thửa 655 Thạnh Phước,1027,Thành phố Hồ Chí Minh
2840,8919,BHX_HCM_Q12 - Tân Hưng Thuận,1027,Thành phố Hồ Chí Minh
2841,5077,BHX_AGI_TSO - Thửa 01 Núi Sập,1031,Tỉnh An Giang
2842,5228,BHX_DTH_CLA - Thửa 1871 Mỹ Long,1029,Tỉnh Đồng Tháp
2843,6565,BHX_NTH_NHA - Nhơn Hải (Chợ Mỹ Tường),1023,Tỉnh Khánh Hòa
2844,9302,BHX_BPH_LNI - Lộc Quang,1026,Tỉnh Đồng Nai
2845,6253,BHX_DNG_DRL - QL14 Kiến Đức,1025,Tỉnh Lâm Đồng
2846,7549,BHX_HCM_BCH - 2Z Đường Số 10 (Bình Hưng),1027,Thành phố Hồ Chí Minh
2847,9667,BHX_BDU_BBA - Long Nguyên,1027,Thành phố Hồ Chí Minh
2848,14733,BHX_TVI_TCA - Cầu Quan,1030,Tỉnh Vĩnh Long
2849,6292,BHX_BTH_PTH - Huỳnh Thúc Kháng (Chợ Mũi Né),1025,Tỉnh Lâm Đồng
2850,14808,BHX_BLI_GRA - Phong Thạnh,1033,Tỉnh Cà Mau
2851,28058,BHX_NAN_TTR - Thuận Sơn,1016,Tỉnh Nghệ An
2852,14802,BHX_HTI_HSO - TT Phố Châu,1017,Tỉnh Hà Tĩnh
2853,5004,BHX_HCM_BCH - D1/10C Nguyễn Thị Tú,1027,Thành phố Hồ Chí Minh
2854,6858,BHX_BRV_XMO - Bưng Riềng,1027,Thành phố Hồ Chí Minh
2855,4834,BHX_HCM_TDU - 61/16 Đường Số 48,1027,Thành phố Hồ Chí Minh
2856,14939,BHX_HUE_ALU - Hồng Thượng (Bốt Đỏ) OFF,1019,Thành phố Huế
2857,28197,BHX_HTI_CDA - Cổ Đạm,1017,Tỉnh Hà Tĩnh
2858,2024,BHX_HCM_BTA - 36 Đường số 8,1027,Thành phố Hồ Chí Minh
2859,14491,BHX_KHH_NTR - Phong Châu,1023,Tỉnh Khánh Hòa
2860,5176,BHX_BRV_BRI - 188 Nguyễn Văn Cừ,1027,Thành phố Hồ Chí Minh
2861,14986,BHX_STR_MXU - Thạnh Quới,1032,Thành phố Cần Thơ
2862,8654,BHX_CTH_CDO - Thạnh Lộc,1032,Thành phố Cần Thơ
2863,4953,BHX_BDU_TAN - Thửa 180 Bình Giao,1027,Thành phố Hồ Chí Minh
2864,8362,BHX_KGI_VTH - Thửa 01 Bình Minh,1031,Tỉnh An Giang
2865,6371,BHX_VLO_TON - 64/4B Thống Chế Điều Bát,1030,Tỉnh Vĩnh Long
2866,15749,BHX_DTH_TSO - Thới Sơn,1029,Tỉnh Đồng Tháp
2867,3969,BHX_HCM_GVA - 43/1A Đường Số 10,1027,Thành phố Hồ Chí Minh
2868,8678,BHX_HCM_NBE - 1415 Nguyễn Văn Tạo,1027,Thành phố Hồ Chí Minh
2869,7278,BHX_HCM_BCH - D10/25 Dân Công Hỏa Tuyến,1027,Thành phố Hồ Chí Minh
2870,5182,BHX_BDU_TDM - 333/3 Đường 30/4,1027,Thành phố Hồ Chí Minh
2871,29925,BHX_LDO_PTH - 404 Thủ Khoa Huân,1025,Tỉnh Lâm Đồng
2872,14800,BHX_BDU_TUY - Tân Vĩnh Hiệp,1027,Thành phố Hồ Chí Minh
2873,4460,BHX_BTR_CLA - Thửa 2669 Tây Lộc (Chợ Cái Mơn),1030,Tỉnh Vĩnh Long
2874,14219,BHX_HUE_THO - 52 Phan Bội Châu,1019,Thành phố Huế
2875,3418,BHX_HCM_BCH - 3A73/1 Ấp 3 Phạm Văn Hai,1027,Thành phố Hồ Chí Minh
2876,8109,BHX_DON_CMY - Thửa 68 Xuân Mỹ,1026,Tỉnh Đồng Nai
2877,5396,BHX_STR_STR - 481 Trần Hưng Đạo,1032,Thành phố Cần Thơ
2878,28276,BHX_HCM_BTR -  4A Nguyễn Thị Định,1027,Thành phố Hồ Chí Minh
2879,14502,BHX_HTI_NXU - Nghi Xuân,1017,Tỉnh Hà Tĩnh
2880,27947,BHX_HTI_HKH - Chợ Mới Hương Khê,1017,Tỉnh Hà Tĩnh
2881,9951,BHX_BDU_TUY - 406 Lê Quang Định,1027,Thành phố Hồ Chí Minh
2882,9908,BHX_CTH_CRA - Hưng Thạnh,1032,Thành phố Cần Thơ
2883,6583,BHX_KHH_DKH - 94 Tỉnh Lộ 2 (Diên Phước),1023,Tỉnh Khánh Hòa
2884,14785,BHX_THO_NSO - Nga Yên,1015,Tỉnh Thanh Hóa
2885,14989,BHX_PYE_DXU - La Hai,1024,Tỉnh Đắk Lắk
2886,14812,BHX_HUE_PXU - Kho Thịt Cá ITL Đà Nẵng (HUB),1019,Thành phố Huế
2887,15023,BHX_NAN_DLU - Yên Sơn,1016,Tỉnh Nghệ An
2888,5258,BHX_HCM_Q08 - 108 An Dương Vương,1027,Thành phố Hồ Chí Minh
2889,30189,BHX_HYE_DHO - Đức Quang,1013,Tỉnh Hưng Yên
2890,28616,BHX_CMA_LVL - Bà Điều,1033,Tỉnh Cà Mau
2891,7006,BHX_LDO_BLO - 1134 QL20 Đại Lào,1025,Tỉnh Lâm Đồng
2892,6741,BHX_DON_NTR - Long Thọ,1026,Tỉnh Đồng Nai
2893,14573,BHX_HTI_CXU - Cẩm Xuyên,1017,Tỉnh Hà Tĩnh
2894,15629,BHX_BLI_DHA - Định Thành,1033,Tỉnh Cà Mau
2895,28031,BHX_HCM_CCH - 122A Tỉnh Lộ 2,1027,Thành phố Hồ Chí Minh
2896,27939,BHX_HCM_BTR - Chung cư Imperia,1027,Thành phố Hồ Chí Minh
2897,7040,BHX_LDO_DLA - Thửa 40 Phường 5,1025,Tỉnh Lâm Đồng
2898,29983,BHX_HPH_AHA - An Đồng ( Máng Nước),1012,Thành phố Hải Phòng
2899,14997,BHX_GLA_PLK - 123 Lê Thánh Tôn,1022,Tỉnh Gia Lai
2900,28096,BHX_HCM_LBI - BS701. S03-04 Chung Cư Vinhomes Grand Park,1027,Thành phố Hồ Chí Minh
2901,4946,BHX_HCM_TDU - 60 Đường Số 39,1027,Thành phố Hồ Chí Minh
2902,15744,BHX_DNA_STR - Trần Nhân Tông,1020,Thành phố Đà Nẵng
2903,7237,BHX_LDO_DLI - Phú Hiệp 3 (Gia Hiệp),1025,Tỉnh Lâm Đồng
2904,14409,BHX_KHH_NTR - Đường A1,1023,Tỉnh Khánh Hòa
2905,6154,BHX_HCM_Q05 - 286 Trần Hưng Đạo,1027,Thành phố Hồ Chí Minh
2906,9731,BHX_LDO_DTR - Liên Nghĩa (Thửa đất số 1643),1025,Tỉnh Lâm Đồng
2907,6597,BHX_KGI_THI - Đập Đá (Tân Hội),1031,Tỉnh An Giang
2908,5003,BHX_BRV_PMY - Tổ 1 Hắc Dịch,1027,Thành phố Hồ Chí Minh
2909,10106,BHX_DON_VCU - Vĩnh Tân,1026,Tỉnh Đồng Nai
2910,13653,BHX_BPH_DPH - Kho Lạnh Trần Đại Nghĩa (HUB),1026,Tỉnh Đồng Nai
2911,3388,BHX_HCM_PNH - 123 Trần Hữu Trang,1027,Thành phố Hồ Chí Minh
2912,4411,BHX_TNI_TNI - Thửa 01 Khu Phố 1 Phường 4,1028,Tỉnh Tây Ninh
2913,6696,BHX_CTH_PDI - Tân Long (Tân Thới),1032,Thành phố Cần Thơ
2914,6495,BHX_CMA_UMI - Ấp 3 Khánh Hội,1033,Tỉnh Cà Mau
2915,4073,BHX_DON_BHO - 79B Khu phố 10 Tân Biên,1026,Tỉnh Đồng Nai
2916,2794,BHX_HCM_BCH - B11B/13F Võ Văn Vân,1027,Thành phố Hồ Chí Minh
2917,28458,BHX_NBI_YMO - Ngã Ba Lồng,1014,Tỉnh Ninh Bình
2918,5237,BHX_LAN_DHO - 97 Hiệp Hòa,1028,Tỉnh Tây Ninh
2919,4245,BHX_BDU_DAN - 01/8 Quốc Lộ 1K Tân Hòa,1027,Thành phố Hồ Chí Minh
2920,14108,BHX_QNA_TKY - 842 Phan Châu Trinh,1020,Thành phố Đà Nẵng
2921,4448,BHX_HCM_Q04 - 116-118 Vĩnh Hội,1027,Thành phố Hồ Chí Minh
2922,1837,BHX_HCM_BTA - 964 Hương Lộ 2,1027,Thành phố Hồ Chí Minh
2923,28077,BHX_NAN_KBA - Võ Liệt ( Chợ Rộ),1016,Tỉnh Nghệ An
2924,6132,BHX_CMA_CNU - Thửa 53 Phấn Thạnh,1033,Tỉnh Cà Mau
2925,1865,BHX_HCM_BTA - 4525 Nguyễn Cửu Phú,1027,Thành phố Hồ Chí Minh
2926,5181,BHX_BRV_VTA - 176 Trương Công Định,1027,Thành phố Hồ Chí Minh
2927,4768,BHX_TVI_DHA - Thửa 31 Duyên Hải,1030,Tỉnh Vĩnh Long
2928,28207,BHX_NBI_YMO - Yên Mô ( Chợ Ngò),1014,Tỉnh Ninh Bình
2929,15006,BHX_THO_TSO - Triệu Sơn,1015,Tỉnh Thanh Hóa
2930,7865,BHX_DON_LKH - 80 Hồ Thị Hương,1026,Tỉnh Đồng Nai
2931,13785,BHX_HCM_GVA - 884 Lê Đức Thọ,1027,Thành phố Hồ Chí Minh
2932,6309,BHX_DON_LTH - Ấp 2 Phước Bình,1026,Tỉnh Đồng Nai
2933,4246,BHX_DON_BHO - 170 Đinh Quang Ân,1026,Tỉnh Đồng Nai
2934,4870,BHX_BDU_TAN - Thửa 747 Bình Phước B (Chợ Bình Thuận 2),1027,Thành phố Hồ Chí Minh
2935,14675,BHX_NAN_VIN - Kho DC Vinh,1016,Tỉnh Nghệ An
2936,15741,BHX_NAN_DTH - Đô Thành,1016,Tỉnh Nghệ An
2937,15792,BHX_AGI_LXU - Triệu Quang Phục,1031,Tỉnh An Giang
2938,8255,BHX_VLO_TON - Thửa 28 Trà Ôn,1030,Tỉnh Vĩnh Long
2939,2108,BHX_HCM_BCH - D11/5 Quách Điêu,1027,Thành phố Hồ Chí Minh
2940,28249,BHX_QTR_PTR - Phú Trạch,1018,Tỉnh Quảng Trị
2941,2046,BHX_HCM_BTA - 54 Trần Đại Nghĩa,1027,Thành phố Hồ Chí Minh
2942,28056,BHX_HTI_LHA - Lộc Hà,1017,Tỉnh Hà Tĩnh
2943,29922,BHX_HCM_TNP -  524/1 Lê Văn Việt,1027,Thành phố Hồ Chí Minh
2944,15632,BHX_DTH_TNO - Phú Hiệp,1029,Tỉnh Đồng Tháp
2945,9964,BHX_HCM_TDU - 169 Đường 154,1027,Thành phố Hồ Chí Minh
2946,4487,BHX_CTH_PDI - Thửa 230 Phong Điền,1032,Thành phố Cần Thơ
2947,5246,BHX_BPH_LNI - Thửa 111 Hiệp Tâm A,1026,Tỉnh Đồng Nai
2948,28691,BHX_NBI_BMY - 119 Trần Tử Bình,1014,Tỉnh Ninh Bình
2949,4783,BHX_BPH_CTH - Thửa 164 Nguyễn Huệ,1026,Tỉnh Đồng Nai
2950,3645,BHX_HCM_Q07 - 122 Lâm Văn Bền,1027,Thành phố Hồ Chí Minh
2951,9079,BHX_HCM_GVA - Thửa 506 Quang Trung,1027,Thành phố Hồ Chí Minh
2952,3673,BHX_HCM_Q08 - 3425 Phạm Thế Hiển,1027,Thành phố Hồ Chí Minh
2953,15733,BHX_CMA_DMU - ấp Kinh Đào,1033,Tỉnh Cà Mau
2954,14609,BHX_DNA_HVA - Hoà Phước,1020,Thành phố Đà Nẵng
2955,14924,BHX_AGI_CPH - Kho Lạnh Thốt Nốt (HUB),1031,Tỉnh An Giang
2956,5290,BHX_BDU_BCA - Thửa 676 Chánh Phú Hòa,1027,Thành phố Hồ Chí Minh
2957,15572,BHX_HGI_CTA - Tân Phú Thạnh,1032,Thành phố Cần Thơ
2958,9450,BHX_HCM_BCH - Lê Minh Xuân,1027,Thành phố Hồ Chí Minh
2959,28572,BHX_DON_NTR - Trạm Điện,1026,Tỉnh Đồng Nai
2960,13592,BHX_HCM_TDU - 520 Nguyễn Xiển,1027,Thành phố Hồ Chí Minh
